ccbaGcode,ccbaGcode_label,ccbaBcode_id,ccbaBcode,ccbaBcode_label,ccbaMcode_id,ccbaMcode,ccbaMcode_label,detailcode_id,detailcode,detailcode_label
CA,유적건조물,CA01,01,주거생활,CA0101,01,주거지,,,
CA,유적건조물,CA01,01,주거생활,CA0102,02,주거건축,CA010201,01,가옥
CA,유적건조물,CA01,01,주거생활,CA0102,02,주거건축,CA010202,02,건물지
CA,유적건조물,CA01,01,주거생활,CA0102,02,주거건축,CA010203,03,마을
CA,유적건조물,CA01,01,주거생활,CA0102,02,주거건축,CA010204,04,주거시설
CA,유적건조물,CA01,01,주거생활,CA0103,03,조경건축,CA010301,01,누정
CA,유적건조물,CA01,01,주거생활,CA0103,03,조경건축,CA010301,01,원
CA,유적건조물,CA01,01,주거생활,CA0104,04,근대주거,CA010401,01,근대가옥
CA,유적건조물,CA01,01,주거생활,CA0104,04,근대주거,CA010402,02,근대도시
CA,유적건조물,CA02,02,무덤,CA0201,01,무덤,CA020101,01,고분군
CA,유적건조물,CA02,02,무덤,CA0201,01,무덤,CA020102,02,봉토묘
CA,유적건조물,CA02,02,무덤,CA0201,01,무덤,CA020103,03,분구묘
CA,유적건조물,CA02,02,무덤,CA0201,01,무덤,CA020104,04,적석묘
CA,유적건조물,CA02,02,무덤,CA0201,01,무덤,CA020105,05,지석묘
CA,유적건조물,CA02,02,무덤,CA0201,01,무덤,CA020199,99,기타
CA,유적건조물,CA02,02,무덤,CA0202,02,왕실무덤,CA020201,01,고대
CA,유적건조물,CA02,02,무덤,CA0202,02,왕실무덤,CA020202,02,고려시대
CA,유적건조물,CA02,02,무덤,CA0202,02,왕실무덤,CA020203,03,조선시대
CA,유적건조물,CA02,02,무덤,CA0203,03,근대무덤,,,
CA,유적건조물,CA03,03,정치국방,CA0301,01,궁궐관아,CA030101,01,관아
CA,유적건조물,CA03,03,정치국방,CA0301,01,궁궐관아,CA030102,02,궁궐
CA,유적건조물,CA03,03,정치국방,CA0301,01,궁궐관아,CA030103,03,궁궐터
CA,유적건조물,CA03,03,정치국방,CA0301,01,궁궐관아,CA030104,04,사고
CA,유적건조물,CA03,03,정치국방,CA0301,01,궁궐관아,CA030105,05,사우
CA,유적건조물,CA03,03,정치국방,CA0301,01,궁궐관아,CA030106,06,제단
CA,유적건조물,CA03,03,정치국방,CA0301,01,궁궐관아,CA030107,07,천문관측
CA,유적건조물,CA03,03,정치국방,CA0302,02,성,CA030201,01,성곽
CA,유적건조물,CA03,03,정치국방,CA0302,02,성,CA030202,02,성곽시설
CA,유적건조물,CA03,03,정치국방,CA0302,02,성,CA030203,03,성지
CA,유적건조물,CA03,03,정치국방,CA0303,03,전적지,CA030301,01,동학전적지
CA,유적건조물,CA03,03,정치국방,CA0303,03,전적지,CA030302,02,임란전적지
CA,유적건조물,CA03,03,정치국방,CA0303,03,전적지,CA030303,03,기타전적지
CA,유적건조물,CA03,03,정치국방,CA0304,04,근대정치국방,CA030401,01,국방
CA,유적건조물,CA03,03,정치국방,CA0304,04,근대정치국방,CA030402,02,행정
CA,유적건조물,CA03,03,정치국방,CA0304,04,근대정치국방,CA030403,03,외교
CA,유적건조물,CA03,03,정치국방,CA0304,04,근대정치국방,CA030404,04,정치
CA,유적건조물,CA03,03,정치국방,CA0304,04,근대정치국방,CA030499,99,기타
CA,유적건조물,CA04,04,산업생산,CA0401,01,농업,CA040101,01,관개시설
CA,유적건조물,CA04,04,산업생산,CA0401,01,농업,CA040102,02,저장가공시설
CA,유적건조물,CA04,04,산업생산,CA0402,02,어업염업,,,
CA,유적건조물,CA04,04,산업생산,CA0403,03,제조업,CA040301,01,유기
CA,유적건조물,CA04,04,산업생산,CA0403,03,제조업,CA040302,02,조선소
CA,유적건조물,CA04,04,산업생산,CA0403,03,제조업,CA040399,99,기타
CA,유적건조물,CA04,04,산업생산,CA0404,04,요업,CA040401,01,기와가마
CA,유적건조물,CA04,04,산업생산,CA0404,04,요업,CA040402,02,도자기가마
CA,유적건조물,CA04,04,산업생산,CA0404,04,요업,CA040403,03,토기가마
CA,유적건조물,CA04,04,산업생산,CA0404,04,요업,CA040499,99,기타가마
CA,유적건조물,CA04,04,산업생산,CA0405,05,광업,CA040501,01,금속광산
CA,유적건조물,CA04,04,산업생산,CA0405,05,광업,CA040502,02,야금
CA,유적건조물,CA04,04,산업생산,CA0405,05,광업,CA040599,99,기타
CA,유적건조물,CA04,04,산업생산,CA0406,06,근대산업생산,CA040601,01,금융업
CA,유적건조물,CA04,04,산업생산,CA0406,06,근대산업생산,CA040602,02,숙박·음식업
CA,유적건조물,CA04,04,산업생산,CA0406,06,근대산업생산,CA040603,03,전기·수도업
CA,유적건조물,CA04,04,산업생산,CA0406,06,근대산업생산,CA040604,04,제조업
CA,유적건조물,CA05,05,교통통신,CA0501,01,교통,CA050101,01,교량
CA,유적건조물,CA05,05,교통통신,CA0501,01,교통,CA050102,02,도로
CA,유적건조물,CA05,05,교통통신,CA0501,01,교통,CA050103,03,수상교통
CA,유적건조물,CA05,05,교통통신,CA0502,02,통신,CA050201,01,봉수
CA,유적건조물,CA05,05,교통통신,CA0503,03,근대교통통신시설,CA050301,01,교량
CA,유적건조물,CA05,05,교통통신,CA0503,03,근대교통통신시설,CA050302,02,우정
CA,유적건조물,CA05,05,교통통신,CA0503,03,근대교통통신시설,CA050303,03,철도
CA,유적건조물,CA05,05,교통통신,CA0503,03,근대교통통신시설,CA050304,04,해운
CA,유적건조물,CA06,06,종교신앙,CA0601,01,불교,CA060101,01,각루
CA,유적건조물,CA06,06,종교신앙,CA0601,01,불교,CA060102,02,당간
CA,유적건조물,CA06,06,종교신앙,CA0601,01,불교,CA060103,03,당우
CA,유적건조물,CA06,06,종교신앙,CA0601,01,불교,CA060104,04,문
CA,유적건조물,CA06,06,종교신앙,CA0601,01,불교,CA060105,05,불전
CA,유적건조물,CA06,06,종교신앙,CA0601,01,불교,CA060106,06,사찰
