재질,material_id,재질상세,material_detail_id
금속,PS08001,금,PS08001001
금속,PS08001,은,PS08001002
금속,PS08001,금동,PS08001003
금속,PS08001,동합금,PS08001004
금속,PS08001,철,PS08001005
금속,PS08001,복합금속,PS08001006
금속,PS08001,주석,PS08001007
금속,PS08001,동,PS08001008
금속,PS08001,백금,PS08001009
금속,PS08001,백동,PS08001010
금속,PS08001,청동,PS08001011
금속,PS08001,황동,PS08001012
금속,PS08001,알루미늄,PS08001013
금속,PS08001,아연,PS08001014
금속,PS08001,니켈,PS08001015
금속,PS08001,납,PS08001016
금속,PS08001,수은,PS08001017
금속,PS08001,함석철,PS08001018
금속,PS08001,자석,PS08001019
금속,PS08001,기타,PS08001099
흙,PS08002,연질,PS08002001
흙,PS08002,와질,PS08002002
흙,PS08002,경질,PS08002003
흙,PS08002,소조,PS08002004
흙,PS08002,기타,PS08002099
도자기,PS08003,청자,PS08003001
도자기,PS08003,분청,PS08003002
도자기,PS08003,백자,PS08003003
도자기,PS08003,흑유,PS08003004
도자기,PS08003,연유,PS08003005
도자기,PS08003,백태청유자,PS08003006
도자기,PS08003,청백자,PS08003007
도자기,PS08003,백탁유,PS08003008
도자기,PS08003,잡유,PS08003009
도자기,PS08003,갈유,PS08003010
도자기,PS08003,석간주,PS08003011
도자기,PS08003,천목,PS08003012
도자기,PS08003,삼채,PS08003013
도자기,PS08003,오채,PS08003014
도자기,PS08003,옹기,PS08003015
도자기,PS08003,토기,PS08003098
도자기,PS08003,기타,PS08003099
돌,PS08004,화강암,PS08004001
돌,PS08004,섬록암,PS08004002
돌,PS08004,안산암,PS08004003
돌,PS08004,현무암,PS08004004
돌,PS08004,응회암,PS08004005
돌,PS08004,사암,PS08004006
돌,PS08004,혈암,PS08004007
돌,PS08004,점판암,PS08004008
돌,PS08004,석회암,PS08004009
돌,PS08004,편마암,PS08004010
돌,PS08004,대리석,PS08004011
돌,PS08004,화강섬록암,PS08004097
돌,PS08004,고회암,PS08004098
돌,PS08004,기타,PS08004099
유리/보석,PS08005,유리,PS08005001
유리/보석,PS08005,수정,PS08005002
유리/보석,PS08005,마노,PS08005003
유리/보석,PS08005,호박,PS08005004
유리/보석,PS08005,비취,PS08005005
유리/보석,PS08005,천하석,PS08005006
유리/보석,PS08005,밀화,PS08005007
유리/보석,PS08005,옥,PS08005008
유리/보석,PS08005,진주,PS08005009
유리/보석,PS08005,산호,PS08005010
유리/보석,PS08005,금패,PS08005011
유리/보석,PS08005,성웅황,PS08005012
유리/보석,PS08005,파란(琺瑯),PS08005013
유리/보석,PS08005,기타,PS08005099
풀,PS08006,볏짚,PS08006001
풀,PS08006,칡,PS08006002
풀,PS08006,갈대,PS08006003
풀,PS08006,왕골,PS08006004
풀,PS08006,띠,PS08006005
풀,PS08006,댕댕이,PS08006006
풀,PS08006,삼,PS08006007
풀,PS08006,보릿짚,PS08006008
풀,PS08006,밀짚,PS08006009
풀,PS08006,부들,PS08006010
풀,PS08006,골풀,PS08006011
풀,PS08006,박,PS08006012
풀,PS08006,수수,PS08006013
풀,PS08006,고추,PS08006014
풀,PS08006,빵대쑥,PS08006015
풀,PS08006,옥수수,PS08006016
풀,PS08006,인동덩굴,PS08006017
풀,PS08006,기타,PS08006099
나무,PS08007,가래나무,PS08007001
나무,PS08007,가시나무,PS08007002
나무,PS08007,가죽나무,PS08007003
나무,PS08007,감나무,PS08007004
나무,PS08007,개오동나무,PS08007005
나무,PS08007,갯버들,PS08007006
나무,PS08007,고로쇠나무,PS08007007
나무,PS08007,고리버들,PS08007008
나무,PS08007,고욤나무,PS08007009
나무,PS08007,굴피나무,PS08007010
나무,PS08007,꽝꽝나무,PS08007011
나무,PS08007,꾸지뽕나무,PS08007012
나무,PS08007,느릅나무,PS08007013
나무,PS08007,느티나무,PS08007014
나무,PS08007,단풍나무,PS08007015
나무,PS08007,대나무,PS08007016
나무,PS08007,대추나무,PS08007017
나무,PS08007,때죽나무,PS08007018
나무,PS08007,모과나무,PS08007019
나무,PS08007,물푸레나무,PS08007020
나무,PS08007,박달나무,PS08007021
나무,PS08007,밤나무,PS08007022
나무,PS08007,배나무,PS08007023
나무,PS08007,버드나무,PS08007024
나무,PS08007,멎나무,PS08007025
나무,PS08007,붉가시나무,PS08007026
나무,PS08007,분비나무,PS08007027
나무,PS08007,비자나무,PS08007028
나무,PS08007,뽕나무,PS08007029
나무,PS08007,소나무,PS08007030
나무,PS08007,싸리나무,PS08007031
나무,PS08007,오동나무,PS08007032
나무,PS08007,오리나무,PS08007033
나무,PS08007,은행나무,PS08007034
나무,PS08007,음나무,PS08007035
나무,PS08007,잎갈나무,PS08007036
나무,PS08007,잣나무,PS08007037
나무,PS08007,전나무,PS08007038
나무,PS08007,주목,PS08007039
나무,PS08007,참나무,PS08007040
나무,PS08007,참죽나무,PS08007041
나무,PS08007,팽나무,PS08007042
나무,PS08007,피나무,PS08007043
나무,PS08007,향나무,PS08007044
나무,PS08007,호도나무,PS08007045
나무,PS08007,회양목,PS08007046
나무,PS08007,자단목,PS08007047
나무,PS08007,닥,PS08007048
나무,PS08007,등나무,PS08007049
나무,PS08007,기타,PS08007099
나무,PS08007,자작나무,PS08007098
나무,PS08007,산벚나무,PS08007097
나무,PS08007,돌배나무,PS08007096
나무,PS08007,후박나무,PS08007095
뼈/뿔/조개,PS08008,인골,PS08008001
뼈/뿔/조개,PS08008,수골,PS08008002
뼈/뿔/조개,PS08008,조골,PS08008003
뼈/뿔/조개,PS08008,어골,PS08008004
뼈/뿔/조개,PS08008,수각,PS08008005
뼈/뿔/조개,PS08008,상아,PS08008006
뼈/뿔/조개,PS08008,패각,PS08008007
뼈/뿔/조개,PS08008,대모,PS08008008
뼈/뿔/조개,PS08008,나전,PS08008009
뼈/뿔/조개,PS08008,화각,PS08008010
뼈/뿔/조개,PS08008,알껍질,PS08008011
뼈/뿔/조개,PS08008,기타,PS08008099
